NO_OF_FRAMES	519
NO_OF_CAMERAS	8
NO_OF_MARKERS	3
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2012-03-21, 16:32:58	451699.34750673
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002
Frame	Time	New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	
664	2.76667	466.493	-17.517	-1880.554	438.467	33.427	-1982.591	482.120	438.694	-1901.170
665	2.77083	466.684	-17.417	-1880.407	438.364	33.411	-1982.487	482.049	438.928	-1900.104
666	2.77500	466.517	-17.558	-1880.270	438.225	33.401	-1982.437	481.860	439.149	-1899.082
667	2.77917	466.476	-17.582	-1880.269	438.329	33.587	-1982.357	481.560	439.215	-1898.372
668	2.78333	466.552	-17.482	-1880.374	438.153	33.692	-1982.340	481.076	439.574	-1897.263
669	2.78750	466.462	-17.527	-1880.388	438.387	33.922	-1982.244	481.005	440.061	-1896.249
670	2.79167	466.541	-17.479	-1880.377	438.469	34.051	-1982.238	480.976	440.396	-1895.152
671	2.79583	466.597	-17.454	-1880.242	438.370	34.240	-1982.262	480.817	440.260	-1894.287
672	2.80000	466.726	-17.381	-1880.246	438.343	34.444	-1982.201	480.814	440.402	-1893.433
673	2.80417	466.725	-17.426	-1880.249	438.226	34.609	-1982.278	480.635	440.523	-1892.592
674	2.80833	467.017	-17.218	-1880.190	438.144	34.778	-1982.210	480.651	440.607	-1891.853
675	2.81250	466.978	-17.242	-1880.096	438.710	35.452	-1980.964	480.639	440.461	-1891.019
676	2.81667	466.974	-17.242	-1880.097	437.806	35.949	-1981.449	481.041	440.675	-1890.102
677	2.82083	466.813	-17.384	-1880.034	437.433	36.554	-1981.251	480.811	440.600	-1889.318
678	2.82500	466.810	-17.399	-1879.797	437.202	37.393	-1980.926	480.816	440.677	-1888.517
679	2.82917	466.706	-17.404	-1879.794	436.841	38.010	-1980.540	480.888	440.700	-1887.884
680	2.83333	466.872	-17.320	-1879.694	436.229	38.749	-1980.274	480.881	440.592	-1887.114
681	2.83750	466.641	-17.444	-1879.690	435.186	39.245	-1980.701	481.036	440.773	-1886.420
682	2.84167	466.616	-17.522	-1879.543	435.636	39.559	-1979.774	480.901	440.717	-1885.455
683	2.84583	466.787	-17.375	-1879.451	435.290	39.847	-1979.675	481.066	440.837	-1884.484
684	2.85000	467.016	-17.302	-1878.747	435.045	39.956	-1979.501	481.136	440.945	-1883.591
685	2.85417	466.908	-17.390	-1878.833	434.677	40.187	-1979.509	481.212	441.026	-1882.815
686	2.85833	466.717	-17.092	-1878.889	435.611	41.137	-1979.462	481.014	440.993	-1881.769
687	2.86250	466.418	-16.801	-1879.044	434.521	40.929	-1979.481	481.084	441.088	-1880.586
688	2.86667	466.011	-16.794	-1879.160	434.025	40.862	-1979.487	480.987	441.151	-1879.233
689	2.87083	467.651	-15.366	-1878.981	433.907	41.229	-1979.302	480.679	441.058	-1878.046
690	2.87500	467.406	-15.070	-1879.130	433.728	41.623	-1979.174	480.642	441.503	-1876.468
691	2.87917	467.118	-14.945	-1878.995	433.148	41.891	-1978.901	480.403	440.869	-1875.054
692	2.88333	466.786	-14.884	-1879.071	432.784	42.146	-1978.815	480.007	440.566	-1873.434
693	2.88750	466.466	-14.652	-1879.073	433.024	42.598	-1978.215	479.554	440.296	-1871.712
694	2.89167	466.280	-14.442	-1879.134	432.063	43.505	-1977.855	479.970	440.191	-1869.922
695	2.89583	465.770	-14.756	-1879.260	431.129	44.448	-1977.855	479.357	440.272	-1867.927
696	2.90000	463.677	-15.737	-1879.527	430.411	45.297	-1977.720	479.181	440.091	-1866.026
697	2.90417	463.430	-15.672	-1879.589	429.978	46.303	-1977.104	479.210	439.752	-1863.603
698	2.90833	463.197	-15.426	-1879.840	429.599	46.562	-1977.008	479.173	439.828	-1861.478
699	2.91250	463.070	-15.304	-1879.779	429.250	46.797	-1976.781	478.767	440.005	-1859.068
700	2.91667	462.620	-15.140	-1879.966	428.800	47.079	-1976.655	478.889	440.063	-1856.853
701	2.92083	462.352	-14.846	-1879.906	428.685	47.447	-1976.309	478.757	439.928	-1854.347
702	2.92500	462.093	-14.737	-1879.981	428.198	47.813	-1976.258	478.489	439.577	-1851.828
703	2.92917	461.717	-14.602	-1879.997	427.816	48.381	-1976.027	478.306	439.766	-1849.016
704	2.93333	461.272	-14.402	-1880.045	427.729	49.001	-1975.896	478.108	439.721	-1846.318
705	2.93750	460.900	-14.197	-1880.245	426.355	48.156	-1975.775	478.118	439.827	-1843.567
706	2.94167	460.517	-14.171	-1880.213	426.102	49.249	-1974.844	477.826	439.709	-1840.721
707	2.94583	459.719	-13.809	-1880.111	425.560	50.944	-1974.323	478.146	439.791	-1837.593
708	2.95000	459.114	-13.569	-1880.205	425.270	52.534	-1973.820	477.839	439.488	-1834.733
709	2.95417	458.214	-13.631	-1880.154	425.116	54.114	-1973.137	478.270	439.250	-1831.648
710	2.95833	457.558	-12.964	-1880.723	424.923	54.748	-1972.907	477.957	438.663	-1828.165
711	2.96250	456.906	-13.227	-1880.074	424.733	54.979	-1972.673	478.466	438.513	-1824.830
712	2.96667	456.762	-13.313	-1880.010	424.828	55.556	-1972.415	479.593	438.590	-1821.612
713	2.97083	457.700	-12.768	-1880.115	424.906	56.098	-1972.007	479.803	438.166	-1817.717
714	2.97500	457.593	-12.745	-1880.062	425.246	56.755	-1971.406	480.301	437.629	-1813.619
715	2.97917	457.630	-12.629	-1880.048	425.676	57.402	-1970.779	480.690	437.134	-1809.470
716	2.98333	459.030	-11.031	-1879.865	426.261	58.219	-1970.022	481.032	436.726	-1805.048
717	2.98750	457.778	-12.571	-1879.357	426.544	58.892	-1969.461	481.916	435.947	-1800.554
718	2.99167	457.829	-12.591	-1879.093	427.545	60.087	-1968.034	482.165	435.503	-1795.896
719	2.99583	462.715	-8.389	-1878.546	427.643	61.884	-1967.165	482.968	434.653	-1790.997
720	3.00000	463.103	-8.830	-1878.236	427.758	63.541	-1966.260	483.964	434.235	-1785.914
721	3.00417	463.373	-8.711	-1877.870	428.661	65.959	-1965.007	484.563	433.423	-1780.710
722	3.00833	463.309	-8.068	-1877.514	430.169	67.434	-1963.737	485.179	432.582	-1775.430
723	3.01250	462.638	-8.494	-1877.347	431.038	68.564	-1962.617	486.193	431.833	-1769.755
724	3.01667	464.069	-8.369	-1876.981	431.819	69.355	-1961.853	487.458	431.448	-1764.358
725	3.02083	463.230	-8.158	-1876.616	432.201	70.221	-1960.670	488.641	430.914	-1758.597
726	3.02500	463.634	-7.926	-1876.145	432.806	71.350	-1959.190	489.577	430.152	-1752.541
727	3.02917	463.606	-7.950	-1875.946	434.349	72.779	-1957.773	490.611	429.413	-1746.590
728	3.03333	464.205	-7.624	-1875.214	435.694	75.656	-1955.622	491.849	428.683	-1740.399
729	3.03750	466.064	-6.797	-1873.410	436.257	79.019	-1953.690	492.899	427.920	-1733.797
730	3.04167	465.744	-6.564	-1873.029	437.081	81.050	-1951.634	494.107	426.709	-1727.203
731	3.04583	465.476	-5.515	-1872.589	437.445	82.182	-1950.228	494.787	425.748	-1720.496
732	3.05000	465.119	-4.697	-1871.883	438.709	83.808	-1947.863	496.503	425.670	-1713.659
733	3.05417	465.120	-4.450	-1871.288	439.474	85.463	-1945.628	497.481	425.095	-1706.309
734	3.05833	464.817	-3.960	-1870.477	440.245	89.548	-1942.806	498.604	424.831	-1698.736
735	3.06250	464.692	-3.557	-1869.787	439.895	92.590	-1940.107	499.597	423.338	-1691.403
736	3.06667	464.201	-3.113	-1869.071	441.177	94.654	-1937.329	501.153	422.665	-1683.374
737	3.07083	464.005	-2.707	-1868.399	442.642	97.276	-1933.807	502.630	422.417	-1675.212
738	3.07500	463.762	-2.228	-1867.645	442.912	103.037	-1930.130	503.869	421.514	-1667.100
739	3.07917	463.657	-1.919	-1866.775	443.175	104.732	-1926.964	505.778	420.709	-1658.802
740	3.08333	463.312	-0.937	-1865.854	443.740	107.038	-1923.214	506.977	420.137	-1649.817
741	3.08750	462.893	-0.304	-1864.678	444.946	113.002	-1917.593	508.478	419.599	-1640.719
742	3.09167	462.929	-0.283	-1863.884	443.219	113.867	-1913.695	510.263	418.212	-1630.973
743	3.09583	463.064	-0.221	-1862.883	444.277	118.506	-1907.855	511.614	417.822	-1621.238
744	3.10000	463.129	-0.144	-1861.766	447.295	124.647	-1901.471	513.146	416.908	-1611.312
745	3.10417	462.031	1.027	-1860.376	445.811	125.551	-1896.494	515.410	415.923	-1601.106
746	3.10833	461.176	2.245	-1859.048	445.674	131.022	-1889.027	517.198	415.437	-1590.287
747	3.11250	460.437	3.685	-1857.449	446.956	133.913	-1881.620	518.787	413.733	-1579.454
748	3.11667	462.547	9.033	-1855.380	445.213	137.903	-1875.023	520.879	413.438	-1568.203
749	3.12083	464.022	12.195	-1852.543	446.568	141.563	-1867.270	522.490	412.714	-1557.318
750	3.12500	463.314	16.065	-1849.179	447.670	146.056	-1859.499	524.513	411.234	-1546.062
751	3.12917	463.029	19.002	-1845.176	445.891	148.820	-1852.213	526.055	411.014	-1534.489
752	3.13333	462.067	22.631	-1840.678	447.780	153.552	-1843.531	527.637	409.204	-1523.080
753	3.13750	462.172	28.218	-1836.381	448.217	158.379	-1834.578	528.937	408.950	-1511.573
754	3.14167	462.247	33.067	-1831.797	447.936	160.821	-1826.262	530.082	407.900	-1499.913
755	3.14583	461.361	36.927	-1826.718	448.207	165.876	-1816.445	531.389	406.636	-1488.254
756	3.15000	460.995	40.122	-1821.281	449.690	169.735	-1806.803	532.332	406.544	-1476.433
757	3.15417	462.323	47.690	-1815.472	449.227	173.990	-1796.701	533.192	404.728	-1464.324
758	3.15833	463.443	51.699	-1808.825	450.576	176.056	-1786.703	533.914	404.057	-1452.450
759	3.16250	462.218	55.755	-1802.313	449.727	180.028	-1776.029	534.042	403.711	-1440.363
760	3.16667	462.660	58.701	-1793.927	452.134	183.199	-1764.551	534.570	404.249	-1428.418
761	3.17083	462.618	62.877	-1785.622	450.463	187.660	-1754.263	534.911	404.455	-1416.565
762	3.17500	464.650	65.998	-1775.798	451.443	189.578	-1743.516	535.357	404.943	-1404.728
763	3.17917	466.225	69.705	-1764.939	451.441	192.804	-1733.294	535.691	403.623	-1392.648
764	3.18333	467.218	73.260	-1752.824	451.022	195.699	-1722.276	536.354	403.790	-1380.692
765	3.18750	470.182	76.156	-1739.528	452.118	197.574	-1711.243	536.219	405.815	-1368.783
766	3.19167	469.583	76.259	-1725.469	450.021	200.031	-1700.587	535.871	406.419	-1357.273
767	3.19583	470.344	77.839	-1710.832	452.189	202.198	-1688.165	536.632	407.124	-1345.425
768	3.20000	472.929	79.816	-1695.663	452.114	202.141	-1676.956	536.661	407.641	-1333.481
769	3.20417	473.408	79.359	-1680.482	452.308	204.656	-1664.489	536.159	409.895	-1321.910
770	3.20833	475.111	80.861	-1665.212	451.900	204.647	-1652.158	536.184	411.626	-1310.296
771	3.21250	476.660	82.969	-1649.997	453.221	205.444	-1639.574	535.966	413.027	-1298.406
