NO_OF_FRAMES	519
NO_OF_CAMERAS	8
NO_OF_MARKERS	19
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2012-03-21, 16:32:58	451699.34750673
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002	New 0003	New 0004	New 0005	New 0006	New 0007	New 0008	New 0009	New 0010	New 0011	New 0012	New 0013	New 0014	New 0015	New 0016	New 0017	New 0018
Frame	Time	New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	New 0003 X	New 0003 Y	New 0003 Z	New 0004 X	New 0004 Y	New 0004 Z	New 0005 X	New 0005 Y	New 0005 Z	New 0006 X	New 0006 Y	New 0006 Z	New 0007 X	New 0007 Y	New 0007 Z	New 0008 X	New 0008 Y	New 0008 Z	New 0009 X	New 0009 Y	New 0009 Z	New 0010 X	New 0010 Y	New 0010 Z	New 0011 X	New 0011 Y	New 0011 Z	New 0012 X	New 0012 Y	New 0012 Z	New 0013 X	New 0013 Y	New 0013 Z	New 0014 X	New 0014 Y	New 0014 Z	New 0015 X	New 0015 Y	New 0015 Z	New 0016 X	New 0016 Y	New 0016 Z	New 0017 X	New 0017 Y	New 0017 Z	New 0018 X	New 0018 Y	New 0018 Z	
664	2.76667	466.493	-17.517	-1880.554	438.467	33.427	-1982.591	482.120	438.694	-1901.170	560.833	1359.815	-1993.540	635.434	1024.310	-2060.950	482.255	1601.962	-1961.565	371.896	1399.203	-2065.023	358.281	915.198	-2127.794	80.917	805.264	-2039.918	93.188	1041.241	-2087.626	182.703	1358.267	-1995.234	636.871	795.795	-2002.339	371.380	1183.460	-2116.451	182.140	808.750	-2024.136	526.379	820.998	-2018.459	294.304	1629.186	-1946.278	188.254	433.569	-1921.389	266.892	187.375	-2230.232	0.000	0.000	0.000
665	2.77083	466.684	-17.417	-1880.407	438.364	33.411	-1982.487	482.049	438.928	-1900.104	560.883	1360.518	-1987.469	635.476	1024.603	-2052.772	482.193	1604.220	-1955.886	372.286	1399.946	-2059.504	358.148	917.563	-2121.983	81.491	807.654	-2035.515	93.659	1042.584	-2082.631	182.695	1359.625	-1990.341	636.436	798.035	-1991.199	372.277	1185.063	-2110.147	182.026	810.841	-2016.621	526.829	823.046	-2013.537	293.855	1630.804	-1940.083	188.916	434.234	-1910.112	266.924	183.964	-2216.521	0.000	0.000	0.000
666	2.77500	466.517	-17.558	-1880.270	438.225	33.401	-1982.437	481.860	439.149	-1899.082	561.054	1361.688	-1981.493	635.277	1026.425	-2044.338	482.074	1605.124	-1950.094	372.323	1401.211	-2053.447	358.416	919.039	-2116.194	81.395	809.014	-2031.153	94.099	1044.203	-2078.116	182.675	1360.544	-1984.680	634.900	800.788	-1980.606	372.560	1187.169	-2104.474	182.056	811.088	-2010.347	526.259	823.669	-2008.013	293.847	1630.877	-1934.689	189.316	438.341	-1899.481	267.888	187.478	-2201.717	0.000	0.000	0.000
667	2.77917	466.476	-17.582	-1880.269	438.329	33.587	-1982.357	481.560	439.215	-1898.372	560.916	1362.883	-1975.225	634.865	1027.746	-2036.091	481.976	1605.805	-1944.146	372.202	1402.412	-2047.410	358.566	919.708	-2110.547	81.832	809.123	-2026.667	94.552	1045.520	-2073.607	182.498	1361.552	-1979.042	634.313	801.153	-1968.646	372.692	1186.695	-2098.317	182.307	813.507	-2002.756	528.434	823.143	-2005.918	293.269	1631.394	-1930.265	189.897	440.209	-1888.757	268.546	184.893	-2187.342	0.000	0.000	0.000
668	2.78333	466.552	-17.482	-1880.374	438.153	33.692	-1982.340	481.076	439.574	-1897.263	560.621	1364.841	-1969.163	635.380	1028.889	-2027.851	481.716	1606.714	-1938.247	371.914	1404.096	-2041.411	358.753	920.849	-2104.853	82.251	810.703	-2021.728	95.089	1046.036	-2068.743	182.327	1362.605	-1973.603	632.800	803.200	-1958.032	373.278	1188.235	-2092.479	182.124	814.244	-1996.279	528.049	825.502	-1999.482	293.117	1633.041	-1924.070	190.716	441.505	-1878.055	269.176	180.115	-2173.016	0.000	0.000	0.000
669	2.78750	466.462	-17.527	-1880.388	438.387	33.922	-1982.244	481.005	440.061	-1896.249	560.510	1365.949	-1963.025	635.243	1028.797	-2019.880	481.626	1607.795	-1932.436	372.717	1405.041	-2035.983	358.144	922.804	-2098.454	82.355	812.290	-2016.828	95.743	1047.856	-2064.347	182.406	1363.381	-1967.870	631.936	804.852	-1946.906	373.631	1190.473	-2086.323	182.258	816.403	-1988.978	527.653	825.850	-1993.419	293.138	1634.601	-1918.049	190.747	445.015	-1867.585	270.056	177.048	-2158.362	0.000	0.000	0.000
670	2.79167	466.541	-17.479	-1880.377	438.469	34.051	-1982.238	480.976	440.396	-1895.152	560.765	1366.552	-1957.180	635.350	1029.746	-2011.858	481.365	1609.726	-1926.673	372.740	1405.210	-2030.011	358.303	923.923	-2092.920	82.718	812.172	-2013.262	95.941	1049.094	-2059.582	182.440	1364.197	-1962.219	630.516	806.358	-1935.966	373.869	1189.857	-2080.380	182.428	817.980	-1981.839	527.981	827.820	-1988.610	292.752	1635.678	-1912.353	191.433	446.779	-1857.102	271.722	172.928	-2145.256	0.000	0.000	0.000
671	2.79583	466.597	-17.454	-1880.242	438.370	34.240	-1982.262	480.817	440.260	-1894.287	560.722	1367.932	-1951.073	635.189	1031.289	-2003.985	480.999	1610.211	-1920.970	372.828	1405.860	-2024.629	358.612	924.979	-2087.229	83.203	813.121	-2008.110	96.867	1049.680	-2054.913	182.411	1365.171	-1956.484	629.384	809.510	-1924.852	374.385	1190.644	-2074.612	182.273	819.250	-1975.971	527.668	829.155	-1983.764	292.742	1636.348	-1906.198	191.860	449.340	-1846.666	272.523	169.414	-2131.128	0.000	0.000	0.000
672	2.80000	466.726	-17.381	-1880.246	438.343	34.444	-1982.201	480.814	440.402	-1893.433	560.325	1369.486	-1945.026	635.032	1032.480	-1995.884	480.963	1610.995	-1915.291	373.035	1406.747	-2018.540	358.917	925.630	-2081.537	83.352	814.970	-2003.110	97.028	1051.257	-2049.982	182.260	1365.345	-1951.271	628.345	809.907	-1913.879	374.785	1192.248	-2068.992	182.632	821.643	-1968.869	527.624	829.657	-1979.296	292.203	1636.457	-1900.812	192.551	451.402	-1836.661	270.805	168.168	-2113.410	0.000	0.000	0.000
673	2.80417	466.725	-17.426	-1880.249	438.226	34.609	-1982.278	480.635	440.523	-1892.592	559.934	1370.862	-1938.795	635.164	1032.616	-1988.136	480.873	1611.525	-1909.628	372.946	1407.661	-2012.455	358.743	925.805	-2075.963	83.817	815.134	-1999.369	97.465	1052.435	-2045.266	182.505	1366.238	-1945.620	627.422	812.029	-1903.185	375.024	1192.846	-2062.570	182.553	822.040	-1962.907	528.121	829.885	-1974.456	292.369	1637.490	-1894.803	193.612	453.238	-1826.781	270.659	164.905	-2096.757	244.086	46.539	-2068.815
