NO_OF_FRAMES	1920
NO_OF_CAMERAS	8
NO_OF_MARKERS	3
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2012-02-20, 16:34:23	479140.61788143
DATA_INCLUDED	3D
MARKER_NAMES	New 0000	New 0001	New 0002
Frame	Time	New 0000 X	New 0000 Y	New 0000 Z	New 0001 X	New 0001 Y	New 0001 Z	New 0002 X	New 0002 Y	New 0002 Z	
1	0.00417	794.038	957.600	1461.652	688.762	912.197	1146.988	723.326	853.944	910.046
2	0.00833	794.086	957.383	1461.669	688.946	911.704	1146.719	724.228	853.293	909.258
3	0.01250	794.044	957.460	1461.618	689.118	911.201	1146.803	724.912	853.150	910.664
4	0.01667	794.197	957.686	1462.097	689.674	910.871	1147.197	725.612	850.866	910.277
5	0.02083	794.142	957.763	1462.222	689.984	910.435	1147.003	726.908	849.688	910.533
6	0.02500	793.926	957.846	1462.207	690.280	909.890	1147.083	727.949	848.491	910.602
7	0.02917	794.009	957.915	1462.368	690.770	909.279	1147.279	729.080	846.820	910.670
8	0.03333	793.722	957.968	1462.332	691.406	908.613	1147.120	729.995	845.608	911.215
9	0.03750	793.661	958.030	1462.450	691.328	908.115	1146.689	730.553	843.786	911.396
10	0.04167	793.540	958.138	1462.498	691.612	907.571	1146.733	731.857	842.771	912.293
11	0.04583	793.026	957.512	1462.716	690.882	906.533	1147.296	733.549	841.961	912.714
12	0.05000	792.885	957.632	1462.769	691.093	905.994	1147.396	734.738	840.309	913.354
13	0.05417	792.859	957.722	1462.844	691.339	905.470	1147.474	735.795	838.306	913.799
14	0.05833	792.995	957.889	1463.137	691.909	905.030	1147.278	737.176	836.636	914.290
15	0.06250	792.803	958.104	1463.213	691.520	904.199	1147.089	738.288	835.156	914.721
16	0.06667	792.727	958.150	1463.214	692.378	903.130	1147.394	739.682	833.469	915.268
17	0.07083	792.578	958.299	1463.289	692.654	902.335	1147.549	740.575	831.517	915.813
18	0.07500	792.581	958.432	1463.514	693.381	901.832	1147.743	741.626	829.502	916.436
19	0.07917	792.386	958.656	1463.530	693.538	901.093	1147.889	742.406	827.874	916.560
20	0.08333	792.236	958.713	1463.580	693.780	900.326	1148.140	743.522	826.101	917.190
21	0.08750	792.288	958.944	1463.758	694.210	899.444	1148.427	744.533	824.084	917.824
22	0.09167	792.286	959.006	1463.857	694.458	898.702	1148.740	745.477	822.101	918.206
23	0.09583	792.230	959.197	1463.994	694.763	897.881	1149.073	746.699	819.817	918.492
24	0.10000	792.249	959.260	1464.142	694.947	897.085	1149.456	747.890	817.979	919.688
25	0.10417	792.282	959.406	1464.305	695.159	896.165	1149.530	749.011	815.825	920.213
26	0.10833	792.071	959.656	1464.397	695.366	895.214	1149.767	749.538	814.047	920.549
27	0.11250	791.930	959.876	1464.527	695.451	894.313	1150.068	751.127	811.819	921.806
28	0.11667	791.857	960.037	1464.667	695.505	893.489	1150.446	752.283	809.527	922.813
29	0.12083	791.543	960.236	1464.721	695.811	892.535	1150.826	753.149	807.143	923.619
30	0.12500	792.103	960.036	1465.215	696.141	891.622	1151.091	754.054	804.920	924.529
31	0.12917	791.887	960.444	1465.516	696.630	890.779	1151.384	755.755	803.270	925.435
32	0.13333	791.410	960.607	1465.994	696.603	889.930	1152.052	755.223	800.237	926.833
33	0.13750	792.647	961.068	1466.473	696.611	889.085	1152.504	756.571	798.360	928.379
34	0.14167	791.094	960.896	1466.499	696.549	887.804	1153.328	757.548	796.462	931.060
35	0.14583	790.972	961.176	1466.850	696.845	886.387	1153.694	759.865	794.084	932.064
36	0.15000	790.885	961.322	1467.193	697.716	886.960	1154.903	760.468	790.842	933.231
37	0.15417	790.857	961.610	1467.773	698.144	885.901	1155.221	762.536	789.711	933.591
38	0.15833	790.573	961.833	1468.102	698.578	885.025	1155.791	763.750	786.920	934.546
39	0.16250	790.543	961.983	1468.421	698.724	883.686	1156.513	764.230	784.434	935.091
40	0.16667	790.342	962.161	1468.832	698.820	882.660	1156.914	765.498	782.751	938.612
41	0.17083	790.298	962.385	1469.262	699.073	881.661	1157.221	766.513	780.604	940.226
42	0.17500	790.375	962.363	1469.786	699.103	880.565	1157.423	768.092	778.209	941.874
43	0.17917	790.355	962.623	1470.042	699.320	879.684	1157.692	769.317	775.406	943.419
44	0.18333	790.254	962.816	1470.167	699.531	878.593	1157.940	770.491	772.768	944.887
45	0.18750	790.035	963.124	1470.292	699.718	877.528	1158.245	771.666	770.211	945.895
46	0.19167	790.057	963.342	1470.536	699.756	876.489	1158.453	773.067	767.646	947.020
47	0.19583	790.019	963.591	1470.729	699.928	875.365	1158.941	774.073	764.898	947.924
48	0.20000	790.057	963.855	1470.835	699.415	873.702	1158.891	775.632	762.439	949.567
49	0.20417	789.963	964.053	1471.082	699.387	872.566	1159.042	776.863	759.479	950.765
50	0.20833	789.941	964.348	1471.274	700.117	872.014	1159.665	776.721	757.203	953.313
51	0.21250	789.894	964.659	1471.465	700.275	870.711	1160.062	777.789	754.347	955.044
52	0.21667	789.777	964.984	1471.655	700.306	869.408	1160.327	778.639	751.773	957.252
53	0.22083	789.535	965.156	1471.897	700.646	868.819	1160.776	779.008	748.820	959.860
54	0.22500	789.427	965.565	1471.964	700.967	868.154	1161.505	781.432	747.293	963.597
55	0.22917	789.538	965.769	1472.256	701.185	867.331	1162.576	782.879	743.918	964.619
56	0.23333	789.748	965.900	1472.612	699.837	866.219	1164.629	783.890	740.953	965.822
57	0.23750	789.911	966.254	1472.990	700.427	864.873	1165.547	784.866	739.109	966.616
58	0.24167	789.415	966.354	1473.271	700.471	863.733	1167.121	785.926	736.235	968.758
59	0.24583	789.386	966.617	1473.937	700.558	861.657	1168.147	787.468	733.341	971.035
60	0.25000	789.138	966.895	1474.454	701.158	861.276	1168.466	786.947	729.744	974.381
61	0.25417	788.952	967.070	1474.875	701.396	859.855	1169.236	789.004	727.930	976.005
62	0.25833	788.872	967.359	1475.265	701.721	858.632	1170.002	790.061	724.911	976.822
63	0.26250	788.801	967.615	1475.616	702.085	857.331	1170.636	791.506	722.739	981.497
64	0.26667	788.664	967.903	1475.855	704.016	857.794	1170.771	792.745	720.008	982.922
65	0.27083	788.374	968.307	1476.343	705.197	856.720	1170.856	793.904	717.014	985.227
66	0.27500	788.491	968.522	1477.005	705.416	855.658	1171.167	794.985	714.112	987.239
67	0.27917	788.407	968.849	1477.396	705.394	854.344	1171.841	796.742	711.573	988.206
68	0.28333	788.376	969.108	1477.761	705.010	852.576	1171.755	797.901	708.672	990.517
69	0.28750	788.300	969.310	1478.145	705.094	851.482	1171.476	798.729	705.883	993.517
70	0.29167	788.293	969.586	1478.302	706.203	851.234	1173.627	798.391	703.211	995.345
71	0.29583	788.216	969.877	1478.518	706.312	849.948	1174.527	799.627	700.906	999.431
72	0.30000	788.276	970.264	1478.727	706.814	848.842	1175.149	801.232	698.936	1002.823
73	0.30417	788.153	970.505	1478.945	706.862	847.500	1175.748	802.526	695.349	1004.499
74	0.30833	788.100	970.784	1479.023	707.054	846.357	1176.551	804.182	692.826	1005.796
75	0.31250	788.119	971.064	1479.248	707.272	845.399	1177.090	804.541	690.144	1007.677
76	0.31667	787.741	971.331	1479.412	706.916	844.454	1177.864	804.893	687.728	1011.334
77	0.32083	787.691	971.638	1479.660	707.461	843.417	1179.459	806.613	685.390	1015.975
78	0.32500	787.558	972.056	1479.775	706.808	841.771	1179.396	808.289	683.015	1018.215
79	0.32917	787.693	972.377	1480.107	707.638	841.270	1181.175	809.726	680.032	1019.240
80	0.33333	787.542	972.705	1480.240	707.782	839.963	1182.397	810.784	678.147	1022.188
81	0.33750	788.048	973.194	1480.498	707.173	839.108	1183.956	811.035	675.275	1025.495
82	0.34167	787.276	973.231	1480.438	707.477	837.998	1184.689	812.467	672.816	1028.467
83	0.34583	787.600	973.585	1480.835	707.802	836.893	1185.701	813.298	670.441	1030.752
84	0.35000	787.198	973.915	1480.768	708.133	835.784	1186.536	814.446	667.980	1034.306
85	0.35417	787.145	974.182	1481.004	708.181	834.482	1187.805	815.654	666.105	1036.992
86	0.35833	787.019	974.441	1481.169	707.987	832.869	1188.301	817.287	663.346	1038.989
87	0.36250	787.297	974.432	1481.627	708.870	832.364	1188.740	818.266	661.264	1042.615
88	0.36667	787.069	974.792	1481.947	708.993	831.297	1189.288	821.501	659.978	1043.535
89	0.37083	786.973	975.029	1482.326	708.863	830.072	1189.873	820.301	657.416	1049.432
90	0.37500	786.074	974.882	1482.360	708.847	828.977	1190.348	822.126	656.193	1051.978
91	0.37917	786.043	975.162	1482.653	708.888	828.047	1191.016	824.008	654.400	1052.465
92	0.38333	785.936	975.473	1483.132	709.362	827.211	1192.155	823.331	650.816	1057.261
93	0.38750	785.907	975.628	1483.472	709.278	826.263	1193.135	825.822	649.574	1060.995
94	0.39167	785.903	975.820	1483.804	708.929	825.668	1194.726	826.495	647.104	1066.013
95	0.39583	785.883	976.054	1484.179	708.425	824.492	1195.654	827.351	644.736	1066.826
96	0.40000	785.856	976.294	1484.284	709.064	824.380	1198.232	828.392	643.542	1070.663
97	0.40417	785.995	976.454	1484.612	709.341	823.467	1199.229	829.053	641.687	1074.648
98	0.40833	786.037	976.590	1484.910	709.456	822.572	1199.991	830.761	640.554	1078.501
99	0.41250	786.114	976.802	1485.110	709.403	821.726	1200.518	831.871	638.479	1080.226
100	0.41667	786.506	976.710	1485.763	709.242	820.765	1200.931	832.268	636.201	1084.738
101	0.42083	786.508	976.837	1486.015	709.311	819.972	1201.384	834.562	635.131	1087.915
102	0.42500	786.518	977.167	1486.307	709.118	819.048	1201.852	835.286	634.049	1091.417
103	0.42917	786.739	977.373	1486.472	709.182	818.156	1202.417	836.587	632.829	1094.737
104	0.43333	786.814	977.554	1486.730	708.340	816.932	1202.010	837.113	631.095	1098.351
105	0.43750	786.944	977.572	1486.868	709.103	816.967	1202.840	838.545	629.393	1101.317
106	0.44167	787.050	977.737	1487.007	708.928	815.965	1203.477	840.418	628.900	1105.352
107	0.44583	787.272	977.872	1487.178	708.500	815.467	1204.924	841.636	627.807	1108.099
108	0.45000	787.468	978.034	1487.406	708.493	814.826	1206.423	842.776	626.474	1111.254
109	0.45417	787.705	978.171	1487.625	708.281	814.154	1207.628	843.506	625.093	1114.629
110	0.45833	787.781	978.202	1487.998	708.324	813.741	1209.362	844.146	624.382	1119.111
111	0.46250	788.090	978.476	1488.251	707.650	813.715	1211.314	846.301	623.760	1122.172
112	0.46667	788.489	978.605	1488.514	708.132	812.920	1211.914	846.647	622.205	1124.307
113	0.47083	788.332	978.625	1488.712	707.976	812.281	1212.399	848.015	621.971	1128.224
114	0.47500	788.536	978.792	1489.002	707.965	811.568	1212.939	850.062	621.319	1133.378
115	0.47917	788.638	978.808	1489.038	707.291	810.472	1213.035	850.849	619.973	1134.786
116	0.48333	788.819	978.984	1489.210	707.211	809.999	1213.085	851.212	619.901	1139.084
117	0.48750	788.926	979.003	1489.281	707.577	810.077	1213.851	852.662	619.286	1144.224
118	0.49167	789.061	979.113	1489.390	707.598	809.388	1214.380	853.561	618.304	1145.308
119	0.49583	789.194	979.267	1489.526	707.470	808.880	1214.720	854.775	618.343	1149.263
120	0.50000	789.377	979.318	1489.735	707.173	808.414	1215.159	855.865	617.494	1154.040
121	0.50417	789.392	979.373	1489.819	706.872	807.822	1215.094	857.099	617.851	1156.292
122	0.50833	789.484	979.558	1489.978	706.892	807.470	1215.363	858.475	617.550	1160.291
123	0.51250	789.537	979.612	1490.017	706.840	807.370	1215.980	858.507	616.647	1164.433
124	0.51667	789.675	979.743	1490.182	706.939	807.082	1216.381	860.060	616.803	1167.055
125	0.52083	789.788	979.830	1490.268	707.304	806.642	1217.352	861.294	616.976	1171.788
126	0.52500	789.859	979.907	1490.331	707.342	806.392	1218.447	863.053	617.255	1174.134
127	0.52917	789.846	980.050	1490.512	706.852	806.509	1219.983	863.025	616.588	1176.485
128	0.53333	789.864	980.034	1490.601	707.240	805.860	1220.553	864.569	616.917	1182.118
129	0.53750	790.216	979.822	1491.009	706.153	804.966	1221.265	866.015	617.102	1184.442
130	0.54167	790.320	979.874	1491.038	706.441	804.818	1221.896	865.775	616.811	1186.703
131	0.54583	790.311	979.884	1491.142	706.687	804.509	1223.145	866.912	616.928	1192.342
132	0.55000	790.563	979.854	1491.285	706.639	804.269	1223.581	868.797	617.647	1194.867
133	0.55417	790.420	979.887	1491.437	707.337	804.719	1224.016	869.663	617.704	1196.487
134	0.55833	790.506	979.952	1491.489	707.269	804.341	1224.379	869.803	617.868	1201.826
135	0.56250	790.634	979.958	1491.545	707.378	804.142	1224.567	871.633	618.913	1205.386
136	0.56667	790.643	979.977	1491.608	707.387	803.907	1224.595	872.259	619.237	1206.797
137	0.57083	790.729	979.970	1491.690	707.513	803.567	1224.746	872.226	618.949	1211.177
